observed_state,observed_district,lgd_state_name,lgd_district_name,match_method
Orissa,,Odisha,,manual
Pondicherry,,Puducherry,,manual
Uttaranchal,,Uttarakhand,,manual
NCT of Delhi,,Delhi,,manual
Delhi (NCT),,Delhi,,manual
A & N Islands,,Andaman and Nicobar Islands,,manual
Andaman & Nicobar,,Andaman and Nicobar Islands,,manual
Dadra and Nagar Haveli,,The Dadra and Nagar Haveli and Daman and Diu,,manual
Daman and Diu,,The Dadra and Nagar Haveli and Daman and Diu,,manual
Haryana,Gurgaon,Haryana,Gurugram,manual
Karnataka,Bangalore,Karnataka,Bengaluru Urban,manual
